route_id,trip_id,service_id,trip_headsign,direction_id,shape_id
ATB:Line:2_41,ATB:ServiceJourney:41_220302120362018_7020,ATB:DayType:815,Ranheim,0,
ATB:Line:2_41,ATB:ServiceJourney:41_220302120362021_7021,ATB:DayType:815,Ranheim,0,
ATB:Line:2_41,ATB:ServiceJourney:41_220302120362024_7022,ATB:DayType:815,Ranheim,0,
ATB:Line:2_41,ATB:ServiceJourney:41_220302120362029_7023,ATB:DayType:815,Ranheim,0,
ATB:Line:2_41,ATB:ServiceJourney:41_220302120362032_7024,ATB:DayType:815,Ranheim,0,
ATB:Line:2_41,ATB:ServiceJourney:41_220302120362035_7025,ATB:DayType:815,Ranheim,0,
ATB:Line:2_41,ATB:ServiceJourney:41_220302120362038_7026,ATB:DayType:815,Ranheim,0,
ATB:Line:2_41,ATB:ServiceJourney:41_220302120362041_7027,ATB:DayType:815,Ranheim,0,
ATB:Line:2_420,ATB:ServiceJourney:420_220103105891789_6,ATB:DayType:729,Krokstadøra via Hemnevegen,1,
ATB:Line:2_420,ATB:ServiceJourney:420_220103105891790_2,ATB:DayType:797,Frøya via Orkanger og Hitra,1,
ATB:Line:2_420,ATB:ServiceJourney:420_220103105891792_6002,ATB:DayType:731,Frøya via Hitra,1,
ATB:Line:2_420,ATB:ServiceJourney:420_220103105891794_1,ATB:DayType:797,Orkanger,0,
ATB:Line:2_420,ATB:ServiceJourney:420_220103105891795_5,ATB:DayType:729,Fillan,0,
ATB:Line:2_420,ATB:ServiceJourney:420_220103105891796_3,ATB:DayType:797,Trondheim S,0,
ATB:Line:2_420,ATB:ServiceJourney:420_220103105891797_7,ATB:DayType:837,Trondheim via Fillan og Orkanger,0,
ATB:Line:2_420,ATB:ServiceJourney:420_220103105891798_6001,ATB:DayType:731,Orkanger skysstasjon via Fillan,0,
ATB:Line:2_420,ATB:ServiceJourney:420_220103105893454_9,ATB:DayType:729,Orkanger,0,
ATB:Line:2_420,ATB:ServiceJourney:420_220103105893748_7001,ATB:DayType:799,Trondheim via Fillan og Orkanger,0,
ATB:Line:2_420,ATB:ServiceJourney:420_220103105901084_4,ATB:DayType:837,Frøya via Orkanger og Hitra,1,
ATB:Line:2_420,ATB:ServiceJourney:420_220103105901085_7002,ATB:DayType:799,Frøya via Orkanger og Hitra,1,
ATB:Line:2_420,ATB:ServiceJourney:420_220125140233973_1002,ATB:DayType:943,Frøya via Orkanger og Hitra,1,
ATB:Line:2_420,ATB:ServiceJourney:420_220125140233975_8002,ATB:DayType:930,Frøya via Hitra,1,
ATB:Line:2_420,ATB:ServiceJourney:420_220125140233979_1003,ATB:DayType:943,Trondheim S,0,
ATB:Line:2_420,ATB:ServiceJourney:420_220125140233980_1007,ATB:DayType:939,Trondheim via Fillan og Orkanger,0,
ATB:Line:2_420,ATB:ServiceJourney:420_220125140233981_8001,ATB:DayType:930,Orkanger skysstasjon via Fillan,0,
ATB:Line:2_420,ATB:ServiceJourney:420_220125140235931_9001,ATB:DayType:815,Trondheim via Fillan og Orkanger,0,
ATB:Line:2_420,ATB:ServiceJourney:420_220125140243268_1004,ATB:DayType:939,Frøya via Orkanger og Hitra,1,
ATB:Line:2_420,ATB:ServiceJourney:420_220125140243269_9002,ATB:DayType:815,Frøya via Orkanger og Hitra,1,
ATB:Line:2_421,ATB:ServiceJourney:421_220103105891997_2,ATB:DayType:797,Valset ferjekai,1,
ATB:Line:2_421,ATB:ServiceJourney:421_220103105891999_4,ATB:DayType:854,Grønningen,1,
ATB:Line:2_421,ATB:ServiceJourney:421_220103105892000_6,ATB:DayType:882,Valset ferjekai,1,
ATB:Line:2_421,ATB:ServiceJourney:421_220103105892001_8,ATB:DayType:791,Valset ferjekai,1,
ATB:Line:2_421,ATB:ServiceJourney:421_220103105892002_10,ATB:DayType:797,Valset ferjekai,1,
ATB:Line:2_421,ATB:ServiceJourney:421_220103105892004_1,ATB:DayType:729,Orkanger skysstasjon,0,
ATB:Line:2_421,ATB:ServiceJourney:421_220103105892006_5,ATB:DayType:729,Lensvik skole,0,
ATB:Line:2_421,ATB:ServiceJourney:421_220103105892007_7,ATB:DayType:797,Lensvik hurtigbåtkai,0,
ATB:Line:2_421,ATB:ServiceJourney:421_220103105893819_14,ATB:DayType:797,Valset ferjekai,1,
ATB:Line:2_421,ATB:ServiceJourney:421_220103105903225_3,ATB:DayType:797,Follo,0,
ATB:Line:2_421,ATB:ServiceJourney:421_220125140234185_1010,ATB:DayType:943,Valset ferjekai,1,
ATB:Line:2_421,ATB:ServiceJourney:421_220125140236002_1014,ATB:DayType:943,Valset ferjekai,1,
ATB:Line:2_421,ATB:ServiceJourney:421_220125140245408_3,ATB:DayType:943,Follo,0,
