from_stop_id,from_trip_id,to_stop_id,to_trip_id,transfer_type
NSR:Quay:74037,ATB:ServiceJourney:75_211220096148052_7004,NSR:Quay:74037,ATB:ServiceJourney:77_211220096157902_7005,1
NSR:Quay:75658,ATB:ServiceJourney:1_211220096150953_7007,NSR:Quay:75658,ATB:ServiceJourney:70_210927153347327_7001,1
NSR:Quay:75658,ATB:ServiceJourney:1_220111125008055_7011,NSR:Quay:75658,ATB:ServiceJourney:70_220308089845749_7005,1
NSR:Quay:75658,ATB:ServiceJourney:1_220111125008075_7013,NSR:Quay:75658,ATB:ServiceJourney:70_211028073290476_7007,1
NSR:Quay:75658,ATB:ServiceJourney:1_220111125008078_7015,NSR:Quay:75658,ATB:ServiceJourney:70_211220096153339_7009,1
NSR:Quay:75658,ATB:ServiceJourney:1_220111125008080_7017,NSR:Quay:75658,ATB:ServiceJourney:70_211028073290477_7011,1
NSR:Quay:75658,ATB:ServiceJourney:1_220111125008082_7019,NSR:Quay:75658,ATB:ServiceJourney:70_211220096153340_7013,1
NSR:Quay:75658,ATB:ServiceJourney:1_220111125008085_7021,NSR:Quay:75658,ATB:ServiceJourney:70_211220096153297_7015,1
NSR:Quay:75658,ATB:ServiceJourney:1_220111125008087_7023,NSR:Quay:75658,ATB:ServiceJourney:70_211220096153341_7017,1
NSR:Quay:75658,ATB:ServiceJourney:1_220111125008089_7025,NSR:Quay:75658,ATB:ServiceJourney:70_211220096153298_7019,1
NSR:Quay:75658,ATB:ServiceJourney:1_220111125008091_7027,NSR:Quay:75658,ATB:ServiceJourney:70_211220096153342_7021,1
NSR:Quay:74037,ATB:ServiceJourney:75_211220096148046_6008,NSR:Quay:74037,ATB:ServiceJourney:77_210927153340247_6007,1
NSR:Quay:74037,ATB:ServiceJourney:75_211220096148044_6004,NSR:Quay:74037,ATB:ServiceJourney:77_211028073295074_6003,1
NSR:Quay:74037,ATB:ServiceJourney:75_211220096148040_24,NSR:Quay:74037,ATB:ServiceJourney:77_211220096157890_35,1
NSR:Quay:74037,ATB:ServiceJourney:75_211028073285236_7010,NSR:Quay:74037,ATB:ServiceJourney:77_211028073295086_7011,1
NSR:Quay:74037,ATB:ServiceJourney:75_211220096148051_7002,NSR:Quay:74037,ATB:ServiceJourney:77_211220096157901_7003,1
NSR:Quay:74037,ATB:ServiceJourney:75_211220096148049_6014,NSR:Quay:74037,ATB:ServiceJourney:77_211220096157899_6015,1
NSR:Quay:74037,ATB:ServiceJourney:75_211220096148048_6012,NSR:Quay:74037,ATB:ServiceJourney:77_211220096157898_6013,1
NSR:Quay:74037,ATB:ServiceJourney:75_211028073285235_7008,NSR:Quay:74037,ATB:ServiceJourney:77_211028073295085_7009,1
NSR:Quay:74037,ATB:ServiceJourney:75_211028073285234_7006,NSR:Quay:74037,ATB:ServiceJourney:77_211028073295084_7007,1
NSR:Quay:74037,ATB:ServiceJourney:75_211028073285233_7004,NSR:Quay:74037,ATB:ServiceJourney:77_211028073295083_7005,1
NSR:Quay:75658,ATB:ServiceJourney:1_211220096140136_7049,NSR:Quay:75658,ATB:ServiceJourney:70_211028073290485_7043,1
NSR:Quay:75658,ATB:ServiceJourney:1_211220096140137_7051,NSR:Quay:75658,ATB:ServiceJourney:70_211220096153348_7045,1
NSR:Quay:75658,ATB:ServiceJourney:1_211220096140139_7053,NSR:Quay:75658,ATB:ServiceJourney:70_211028073290486_7047,1
NSR:Quay:75658,ATB:ServiceJourney:1_211220096140140_7055,NSR:Quay:75658,ATB:ServiceJourney:70_211220096153349_7049,1
NSR:Quay:75658,ATB:ServiceJourney:1_211220096140142_7057,NSR:Quay:75658,ATB:ServiceJourney:70_211028073290487_7051,1
NSR:Quay:75658,ATB:ServiceJourney:1_211220096140143_7059,NSR:Quay:75658,ATB:ServiceJourney:70_210927153347340_7053,1
NSR:Quay:75658,ATB:ServiceJourney:1_211220096140145_7061,NSR:Quay:75658,ATB:ServiceJourney:70_211028073290488_7055,1
NSR:Quay:75658,ATB:ServiceJourney:1_211220096140146_7063,NSR:Quay:75658,ATB:ServiceJourney:70_210927153347341_7057,1
NSR:Quay:75658,ATB:ServiceJourney:1_211220096140148_7065,NSR:Quay:75658,ATB:ServiceJourney:70_211028073290489_7059,1
NSR:Quay:75658,ATB:ServiceJourney:1_211220096140149_7067,NSR:Quay:75658,ATB:ServiceJourney:70_211220096153352_7061,1
NSR:Quay:74037,ATB:ServiceJourney:77_211028073295040_6004,NSR:Quay:74037,ATB:ServiceJourney:75_211028073285261_6005,1
NSR:Quay:74037,ATB:ServiceJourney:77_211028073295031_8,NSR:Quay:74037,ATB:ServiceJourney:75_211220096148063_11,1
NSR:Quay:74037,ATB:ServiceJourney:77_210927153340218_6010,NSR:Quay:74037,ATB:ServiceJourney:75_210927153349079_6015,1
NSR:Quay:74037,ATB:ServiceJourney:77_210927153340215_6008,NSR:Quay:74037,ATB:ServiceJourney:75_210927153349097_6011,1
NSR:Quay:74037,ATB:ServiceJourney:77_210927153340209_26,NSR:Quay:74037,ATB:ServiceJourney:75_210927153349075_29,1
