route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
ATB:Line:0535-2018-06-25,ATB:Authority:160,535,Selbu - Tydal,,704,,,
ATB:Line:0015-2018-06-25,ATB:Authority:160,15,Migosenteret- Pirbadet- Lade,,704,,,
ATB:Line:0054-2018-06-25,ATB:Authority:160,54,Trondheim S- P1- Bratsberg,,704,,,
ATB:Line:0450-2018-06-25,ATB:Authority:160,450,Trondheim - Stadsbygd - Rissa,,704,,,
ATB:Line:0421-2018-06-25,ATB:Authority:160,421,Orkanger - Lensvik - Valset/Væ,,704,,,
ATB:Line:0154-2018-06-25,ATB:Authority:160,154,Nattbuss Nidarvoll/Klæbu,,704,,,
ATB:Line:0011-2018-06-25,ATB:Authority:160,11,Sandbakken- K1- Trolla,,704,,,
ATB:Line:0670-2018-06-25,ATB:Authority:160,670,Stjørdal - Meråker - Storlien,,704,,,
ATB:Line:0017-2018-06-25,ATB:Authority:160,17,Dragvoll- Hallset via St. Olav,,704,,,
ATB:Line:0810-2018-06-25,ATB:Authority:160,810,Trondheim - Vanvikan,,1004,,,
ATB:Line:0037-2018-06-25,ATB:Authority:160,37,D2- Vikhammeråsen,,704,,,
ATB:Line:0830-2018-06-25,ATB:Authority:160,830,Sandvikberget - Sætervik,,1004,,,
ATB:Line:0541-2018-06-25,ATB:Authority:160,541,Røros - Brekken,,704,,,
ATB:Line:0825-2018-06-25,ATB:Authority:160,825,Dyrøy - Lomsøya,,1004,,,
ATB:Line:0561-2018-06-25,ATB:Authority:160,561,Hafsmo/Tannvikvågen - Krokstad,,704,,,
ATB:Line:0320-2018-06-25,ATB:Authority:160,320,Trondheim - Orkanger - Hitra -,,704,,,
ATB:Line:0155-2018-06-25,ATB:Authority:160,155,Nattbuss Moholt/Brøset,,704,,,
ATB:Line:0175-2018-06-25,ATB:Authority:160,175,Nattbuss sentrum- Spongdal,,704,,,
ATB:Line:0340-2018-06-25,ATB:Authority:160,340,Trondheim - Støren - Røros,,704,,,
ATB:Line:0063-2018-06-25,ATB:Authority:160,63,Lade/Strindheim- K1- Ilsvika,,704,,,
ATB:Line:0602-2018-06-25,ATB:Authority:160,602,Stjørdal stasjon - Geving - St,,704,,,
ATB:Line:0460-2018-06-25,ATB:Authority:160,460,(Trondheim) - Orkanger - Melda,,704,,,
ATB:Line:0055-2018-06-25,ATB:Authority:160,55,Pirbadet- P1- Rate,,704,,,
ATB:Line:0330-2018-06-25,ATB:Authority:160,330,Trondheim - Stjørdal - Selbu -,,704,,,
ATB:Line:0060-2018-06-25,ATB:Authority:160,60,Trd S- Valentinlyst- Strindhei,,704,,,
ATB:Line:0850-2018-06-25,ATB:Authority:160,850,Dypfest - Tarva,,1004,,,
ATB:Line:0075-2018-06-25,ATB:Authority:160,75,Trd S- Klefstadhaugen- Spongda,,704,,,
ATB:Line:0350-2018-06-25,ATB:Authority:160,350,Trondheim - Rissa - Åfjord - O,,704,,,
ATB:Line:0451-2018-06-25,ATB:Authority:160,451,(Krinsvatnet) - Botngård - Bre,,704,,,
ATB:Line:0855-2018-06-25,ATB:Authority:160,855,Garten - Storfosna,,1004,,,
ATB:Line:0593-2018-06-25,ATB:Authority:160,593,Åfjord - Flenstad,,704,,,
ATB:Line:0470-2018-06-25,ATB:Authority:160,470,(Trondheim) - Orkanger - Kyrks,,704,,,
ATB:Line:0592-2018-06-25,ATB:Authority:160,592,Åfjord - Stjern,,704,,,
ATB:Line:0076-2018-06-25,ATB:Authority:160,76,Sentrum- Hangersletta- Spongda,,704,,,
ATB:Line:0105-2018-06-25,ATB:Authority:160,105,Nattbuss Buenget,,704,,,
ATB:Line:0501-2018-06-25,ATB:Authority:160,501,Melhus skysstasjon- Hesttrøa,,704,,,
ATB:Line:0591-2018-06-25,ATB:Authority:160,591,Åfjord - Stokksund - Linesøya,,704,,,
ATB:Line:0071-2018-06-25,ATB:Authority:160,71,Heimdal- Spongdal,,704,,,
ATB:Line:0104-2018-06-25,ATB:Authority:160,104,Nattbuss Kolstad/Heimstad,,704,,,
ATB:Line:0860-2018-06-25,ATB:Authority:160,860,Garten - Storfosna - Leksa - V,,1004,,,
ATB:Line:0106-2018-06-25,ATB:Authority:160,106,Nattbuss Lade/Værestrøa,,704,,,
ATB:Line:0103-2018-06-25,ATB:Authority:160,103,Nattbuss Kroppanmarka/Sjetnema,,704,,,
ATB:Line:0109-2018-06-25,ATB:Authority:160,109,Nattbuss Bjørndalen/Kattem/Lun,,704,,,
ATB:Line:0107-2018-06-25,ATB:Authority:160,107,Nattbuss Reppe/Vikåsen/Fortuna,,704,,,
ATB:Line:0066-2018-06-25,ATB:Authority:160,66,M1- Moholt- Stokkhaugen,,704,,,
ATB:Line:0188-2018-06-25,ATB:Authority:160,188,Nattbuss Othilienborg/Risvolla,,704,,,
ATB:Line:0504-2018-06-25,ATB:Authority:160,504,Melhus - Hølonda,,704,,,
ATB:Line:0480-2018-06-25,ATB:Authority:160,480,(Trondheim) - Støren - Berkåk,,704,,,
ATB:Line:0503-2018-06-25,ATB:Authority:160,503,Klæbu sentrum - Bjørkli,,704,,,
ATB:Line:0108-2018-06-25,ATB:Authority:160,108,Nattbuss Stavset,,704,,,
ATB:Line:0870-2018-06-25,ATB:Authority:160,870,Brekstad - Valset,,1004,,,
ATB:Line:0597-2018-06-25,ATB:Authority:160,597,Vingsand - Osen,,704,,,
ATB:Line:0511-2018-06-25,ATB:Authority:160,511,Skaun - Børsa,,704,,,
ATB:Line:0596-2018-06-25,ATB:Authority:160,596,Vikvatnet - Bessaker,,704,,,
ATB:Line:0595-2018-06-25,ATB:Authority:160,595,Reppkleiv - Roan,,704,,,
ATB:Line:0515-2018-06-25,ATB:Authority:160,515,Ilhaugen - Buvika,,704,,,
ATB:Line:0594-2018-06-25,ATB:Authority:160,594,Åfjord  - Lauvøy,,704,,,
ATB:Line:0119-2018-06-25,ATB:Authority:160,119,Nattbuss Byåsen/Flatåsen,,704,,,
