Ladejarlen vgs	571007.192	7035968.42
Ladejarlen vgs	571021.784	7035970.399
Ladeveien	571602.375	7035838.439
Ladeveien	571646.475	7035873.112
Langlo	555593.908	7026999.875
Langlo	555586.869	7026996.416
Langåsmyra	559270	7034634
Langåsmyra	559266	7034641
Larsstu	558720.289	7024897.591
Larsstu	558716.376	7024903.533
Lauglo	561668.674	7025275.824
Lauglo	561688.432	7025277.678
Laugsand	571518	7035350
Laugsand	571521	7035367
Leangen alle	573115.462	7034758.506
Leangen alle	573097.71	7034751.527
Leangen gård	573559.917	7035064.394
Leangen gård	573530.893	7035061.292
Leangenveien	572915	7034968
Leangenveien	572928.311	7034940.43
Legardsbakken	563405.509	7025831.313
Legardsbakken	563354.629	7025816.805
Leinbakken	562992.253	7025849.704
Leinstrand Samfunnshus	565734.745	7022451.979
Leinstrand Samfunnshus	565689.329	7022459.494
Leinum	563156.809	7024470.964
Leinum	563156.111	7024481.36
Leira sk	571605.874	7028356.939
Leira sk	571590.802	7028355.942
Leirbrua gård	566179.379	7029154.259
Leirbrua gård	566070.915	7029025.332
Leirelva	566571.584	7028930.38
Leirelva	566604.432	7028922.574
Leirfossv.	568849	7029061
Leirfossv.	568821.68	7028962.179
Leirøya	569462.99	7029354.313
Leirøya	569461.991	7029418.54
Lerchendal gård	570258.362	7032374.809
Lerchendal gård	570298.627	7032354.642
Lerkendal stadion	569917.869	7032302.597
Lerkendal stadion	569930.612	7032284.767
Lersbakken	566291.851	7022812.183
Lersbakken	566608.738	7023239.318
Lia, Trondheim	572224.134	7027074.342
Lia, Trondheim	572215.977	7027057.569
Lialøkken	571645.927	7027886.673
Lialøkken	571636.647	7027878.679
Lian, Trondheim	565648	7031153
Lilleler	566593	7022104
Lilleler	566593	7022104
Lillerydningen	567564.06	7029441.811
Lillerydningen	567569.009	7029373.989
Linjegods	568122.239	7024403.65
Linjegods	568118.584	7024385.387
Litjvika	577807.759	7024690.15
Litjvika	577802.902	7024688.952
Loholtbakken	572839	7031575
Lohove	572655.37	7031628.941
Lohove	572761.049	7031578.73
Lund, Trondheim	566061.286	7025219.784
Lund, Trondheim	566026.329	7025230.269
Lundemobakken	568140.489	7025833.901
Lundemobakken	568096.756	7025570.786
Lundåsen	566395	7025467
Lundåsen	566398.858	7025563.841
Lundåsen N	566358.809	7025759.646
Lykkmarka	569911.515	7027163.003
Lyngveien	567816.938	7026096.326
Lyngveien	567791.773	7026140.15
Løften	563790.073	7036526.127
Løften	563770.034	7036540.272
Løvaasv.	568608.315	7023976.835
Løvaasv.	568579.851	7023892.475
M41	569569.217	7034518.337
Magnus Berrføttsv.	571778.262	7033288.125
Magnus Berrføttsv.	571832.65	7033392.725
Magnus Blindesv.	570930.351	7033328.323
Marcus Thranesv.	568405.594	7025916.849
Marcus Thranesv.	568399.55	7025880.602
Margretes gt.	569270	7033513
Margretes gt.	569222	7033553
Marie Sørdals veg	571755.269	7030061.038
Marie Sørdals veg	571809.381	7030144.275
Marienborg st.	569027.248	7032891.543
Marienborg st.	569027.838	7032960.378
Marienborg, Trondheim	568758.929	7033109.303
Marienborg, Trondheim	568771.806	7033037.864
Markaplassen	576680.886	7032822.951
Markaplassen	576706.674	7032771.847
Markaplassen sk	576376.671	7032605.538
Markaplassen sk	576376.343	7032617.193
Martin Kregnes veg	569845.112	7025737.423
Martin Kregnes veg	569826.153	7025748.959
Martin Stokkensv.	568488	7030034
Martin Stokkensv.	568452	7029993
Maskinagentur	568742.144	7027146.055
Maskinagentur	568705.194	7027131.755
Maskinistboligene	569881.026	7028904.321
Maskinistboligene	569874.358	7028833.673
Megarden	558015.047	7030016.125
Megarden	558007.567	7030011.502
Mentz Skjetnes v.	568037.511	7024805.85
Mentz Skjetnes v.	568031.217	7024805.279
Midteggen	567860.219	7026652.598
Midteggen	567914.006	7026709.666
Mikkelveien	569552.731	7027787.692
Mikkelveien	569576.225	7027746.108
Mjøset	558102.109	7030806.631
Mjøset	558095.601	7030817.065
Moen, Trondheim	576948	7029395
Moen, Trondheim	576942	7029388
Moheim	565376.027	7025706.524
Moheim	565398.233	7025716.506
Moholt	571648.478	7032221.21
Moholt	571763.958	7032061.242
Moholt studentby	571506.842	7032507.839
Moholt studentby	571549.983	7032367.714
Moltmyra	569761.301	7026557.694
Moltmyra øst	569984.246	7026528.696
Moltmyra øst	569995.154	7026511.589
Mortensen	576968	7028119
Mortensen	576951	7028110
MR	569590.548	7034379.333
Munkaunet	565785.865	7036317.824
Munkaunet	565874.598	7036293.136
Munkegt. - M1	569546.838	7034544.197
Munkegt. - M2	569562	7034491
Munkegt. - M3	569579	7034424
Munkegt. - M4	569565	7034519
Munkegt. - M5	569553.878	7034571.156
Munkvoll gård	567821.269	7031105.231
Munkvoll gård	567802.737	7031064.523
Munkvoll, buss	567910.685	7030585.874
Munkvoll, buss	567907.21	7030565.407
Munkvoll, trikk	567943	7030631
Munkvoll, trikk	567938	7030633
Myrsund	558847	7027382
Myrsund	558859.297	7027357.417
Myrsund	558826	7027403
Myrsund	558825.994	7027401.319
Møllebakken	567787.801	7034147.725
Nardokrysset	571108.481	7031722.842
Nardokrysset	571135.677	7031661.158
Nardosenteret	571282.652	7031324.363
Nardosenteret	571277.086	7031348.252
Nedre Jervan	578770	7029436
Nedre Jervan	578770	7029436
Nedre Leirfoss	569682.124	7028753.166
Nedre Leirfoss	569667.82	7028791.831
Nidarvoll	570158	7030578
Nidarvoll	570129	7030476
Nidarvoll sk	570175.136	7030832.891
Nidarvoll sk	570185.036	7030781.489
Nidelv bru	570650	7035068
Nordre Flatåsen	567464	7028544
Nordre Flatåsen	567464.772	7028544.206
Nordre gate	569703.194	7034616.912
Nordre Halset	568410.379	7030209.962
Nordre Halset	568475.41	7030113.421
Nordre Hoem	568976	7031521
Nordre Hoem	568976	7031500
Nordslettveien	570292.781	7029495.347
Nordslettveien	570304.778	7029494.591
Nordslettveien snuplass	570201.286	7029145.707
Norske meierier	567653.248	7023562.465
Nova Kinosenter	569919.783	7034640.66
Nova Kinosenter	569918.748	7034629.11
NTNU Dragvoll	573415.166	7032175.533
NTNU Dragvoll	573443.043	7032159.862
Nyborg	567523.299	7032412.383
Nyborg	567497.959	7032342.227
Nydalen	569273.69	7031416.56
Nydalen	569315.041	7031293.359
Nygård, Bratsberg	575759.175	7025096.042
Nygård, Bratsberg	575757.363	7025088.778
Nygård, Trondheim	570369.473	7030751.542
Nygård, Trondheim	570331.311	7030743.465
Nyjord	576920	7028784
Nyjord	576915	7028781
Nypan, Trondheim	565539.065	7023049.746
Nypan, Trondheim	565502.192	7023105.466
Nypantunet	564985.593	7023253.669
Nypantunet	564945.554	7023276.696
Nyveibakken	568417.023	7033632.677
Nyveibakken	568441.147	7033568.468
Nyveibakken, Trondheim	568505	7033607
Nyveibakken, Trondheim	568515	7033592
Obs Lade	572039.814	7035845.171
Obs Lade	572072.561	7035867.274
Odensev.	567559.388	7032705.353
Okstad	568988.726	7028196.302
Okstad	568991.425	7028155.193
Okstadøy	568327.033	7028015.495
Okstadøy	568383.947	7027928.992
